urn,label,description,link
urn:cite2:hmt:place.v1:place124,Arisbe,"[coordinates=26.542314, 40.199817]",https://pleiades.stoa.org/places/501359
urn:cite2:exploreHomer:place.v1:place16,Tereia,"[commenting=""Commander: Adrastos""]",https://pleiades.stoa.org/places/515669
urn:cite2:hmt:place.v1:place182,Thespia,"[coordinates=23.154521, 38.293384]
[commenting=""Commanders: Arkesilaos, Prothoenor, Klonios""]
[tagging=""Boeotians""]",https://pleiades.stoa.org/places/541141
urn:cite2:exploreHomer:place.v1:place17,Hylai,"[coordinates=23.278871, 38.411036]
[commenting=""Commanders: Arkesilaos, Prothoenor, Klonios""]
[tagging=""Boeotians""]",https://pleiades.stoa.org/places/540824
urn:cite2:exploreHomer:place.v1:place18,Dion,"[coordinates=22.491299, 40.177012]
[commenting=""Commander: Elphenor""]
[tagging=""Abantes""]",https://pleiades.stoa.org/places/491572
urn:cite2:hmt:place.v1:place148,Orchomenus,"[coordinates=22.959486, 38.495082]
[commenting=""Commander: Agapenor""]
[tagging=""Arcadians""]",https://pleiades.stoa.org/places/540987
urn:cite2:exploreHomer:place.v1:place19,Zacynthus,"[coordinates=20.892091, 37.787178]
[commenting=""Commander: Odysseus""]
[tagging=""Cephallenians""]",https://pleiades.stoa.org/places/531154
urn:cite2:exploreHomer:place.v1:place20,Tegyra,"[coordinates=23.034484, 38.512851]
[commenting=""30""]
[tagging=""Aspledon""]",https://pleiades.stoa.org/places/541126
urn:cite2:hmt:place.v1:place200,Phylace,"[coordinates=22.601194, 39.241202]
[commenting=""40""]
[tagging=""Phylake""]",https://pleiades.stoa.org/places/541053
urn:cite2:exploreHomer:place.v1:place21,Styx (river),"[coordinates=22.25, 38.25]",https://pleiades.stoa.org/places/570698
urn:cite2:exploreHomer:place.v1:place22,Larissa,"[coordinates=22.41474, 39.64147]
[commenting=""Commander: Hippothoos""]
[tagging=""Thessalians""]",https://pleiades.stoa.org/places/540905
urn:cite2:hmt:place.v1:place30,Boeotia,"[coordinates=23.184677533333, 38.346688033333]",https://pleiades.stoa.org/places/540689
urn:cite2:hmt:place.v1:place10,Arcadia,"[coordinates=22.165323097346, 37.56741926845]",https://pleiades.stoa.org/places/570102
urn:cite2:hmt:place.v1:place1,Athens,"[coordinates=23.726464, 37.971687]
[commenting=""Commander: Menestheus""]
[tagging=""Athenians""]",https://pleiades.stoa.org/places/579885
urn:cite2:hmt:place.v1:place282,Pleuron,"[coordinates=21.414714, 38.402823]
[commenting=""Commander: Thoas""]
[tagging=""Aetolians""]",https://pleiades.stoa.org/places/540999
urn:cite2:hmt:place.v1:place207,Elone,"[coordinates=22.30748, 39.82647]
[commenting=""Commanders: Polypoites, Leonteus""]",https://pleiades.stoa.org/places/540760
urn:cite2:hmt:place.v1:place396,Adrasteia,"[coordinates=27.191289, 40.383655]
[commenting=""Commander: Adrastos""]",https://pleiades.stoa.org/places/511138
urn:cite2:exploreHomer:place.v1:place8,Perkote,"[coordinates=26.588806, 40.273913]
[commenting=""Commander: Asios""]",https://pleiades.stoa.org/places/501556
urn:cite2:hmt:place.v1:place410,Ascania,"[coordinates=29.75, 40.25]
[commenting=""Commanders: Phorkys, Askanios""]
[tagging=""Phrygians""]",https://pleiades.stoa.org/places/511165
urn:cite2:hmt:place.v1:place189,Echinades,"[coordinates=21.25, 38.25]
[commenting=""Commanders: Meges, Phyleus""]
[tagging=""Dulichium""]",https://pleiades.stoa.org/places/530852
urn:cite2:hmt:place.v1:place88,Zeleia,"[coordinates=27.5950731, 40.2035643]
[commenting=""Commander: Pandaros""]
[tagging=""Teleans""]",https://pleiades.stoa.org/places/511461
urn:cite2:exploreHomer:place.v1:place23,Midea,"[coordinates=22.842, 37.65]
[commenting=""Commanders: Arkesilaos, Prothoenor, Klonios""]
[tagging=""Boeotians""]",https://pleiades.stoa.org/places/570485
urn:cite2:hmt:place.v1:place141,Plataea,"[coordinates=23.273866, 38.221019]
[commenting=""Commanders: Arkesilaos, Prothoenor, Klonios""]
[tagging=""Boeotians""]",https://pleiades.stoa.org/places/541063
urn:cite2:hmt:place.v1:place151,Lilaia,"[coordinates=22.50592, 38.62687]
[commenting=""Commanders: Schedios, Epistrophos""]
[tagging=""Phocaeans""]",https://pleiades.stoa.org/places/540915
urn:cite2:hmt:place.v1:place371,Carpathus,"[coordinates=27.133333, 35.583333]
[commenting=""Commanders: Pheidippos, Antiphos""]",https://pleiades.stoa.org/places/589841
urn:cite2:hmt:place.v1:place388,Ithome,"[coordinates=21.920439, 37.175491]
[commenting=""Commanders: Asklepios, Podaleirios, Machaon""]",https://pleiades.stoa.org/places/540841
urn:cite2:hmt:place.v1:place370,Nisyrus,"[coordinates=27.15597, 36.58892]
[commenting=""30""]",https://pleiades.stoa.org/places/599830
urn:cite2:hmt:place.v1:place380,Pteleon,"[coordinates=22.97464, 39.03369]
[commenting=""Commander: Podarkes""]
[tagging=""Phylake""]",https://pleiades.stoa.org/places/541077
urn:cite2:hmt:place.v1:place190,Doulichion,"[coordinates=21.15177, 38.32079]
[commenting=""40""]
[tagging=""Dulichium""]",https://pleiades.stoa.org/places/530845
urn:cite2:exploreHomer:place.v1:place24,Maionia/Mysia,"[coordinates=28.25, 38.75]
[commenting=""Commanders: Mesthles, Antiphos""]
[tagging=""Meonians""]",https://pleiades.stoa.org/places/550710
urn:cite2:hmt:place.v1:place1,Athens,"[coordinates=23.726464, 37.971687]",https://pleiades.stoa.org/places/579885
urn:cite2:exploreHomer:place.v1:place25,Pontus Euxinus,"[coordinates=34.7425505, 43.0786852]",https://pleiades.stoa.org/places/1224
